trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
63,False,"{'a': 0.65, 'e': 0.5379444375946745}",30,20,-47.56551559719405,"{0: 6, 1: 1, 2: 1, 3: 2, 4: 0}",1
64,False,"{'a': 0.65, 'e': 0.5325918010068972}",20,0,7.136278841298518,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
65,False,"{'a': 0.65, 'e': 0.5272924240430485}",20,11,-2.0860381377680786,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.65, 'e': 0.522045776761016}",25,3,-26.921699614627638,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 0}",1
67,False,"{'a': 0.65, 'e': 0.5168513344916992}",20,11,-27.286104559146594,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
68,False,"{'a': 0.65, 'e': 0.5117085777865424}",25,0,-54.84593610388931,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
69,False,"{'a': 0.65, 'e': 0.5066169923655895}",20,0,-14.248939456708694,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
70,False,"{'a': 0.65, 'e': 0.5015760690660555}",20,0,-91.55484894020542,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
71,False,"{'a': 0.65, 'e': 0.49658530379140947}",30,14,14.596991742350792,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.65, 'e': 0.4916441974609651}",25,0,-45.668848318494824,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
73,False,"{'a': 0.65, 'e': 0.4867522559599717}",25,0,-56.590852371961574,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
74,False,"{'a': 0.65, 'e': 0.48190899009020244}",30,9,-102.07991111885435,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 1}",1
75,False,"{'a': 0.65, 'e': 0.4771139155210344}",25,10,-48.75095081322032,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
76,False,"{'a': 0.65, 'e': 0.4723665527410147}",20,11,-41.8790598414919,"{0: 5, 1: 0, 2: 3, 3: 1, 4: 0}",1
77,False,"{'a': 0.65, 'e': 0.46766642700990924}",35,19,-21.393310148604268,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
78,False,"{'a': 0.65, 'e': 0.46301306831122807}",25,7,0.8089442068451986,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.65, 'e': 0.4584060113052235}",20,0,-12.065174578668834,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.65, 'e': 0.45384479528235583}",20,0,-65.71617534617968,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",1
81,False,"{'a': 0.65, 'e': 0.44932896411722156}",20,0,-57.45003396422966,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
82,False,"{'a': 0.65, 'e': 0.4448580662229411}",30,0,26.07878151281412,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
83,False,"{'a': 0.65, 'e': 0.44043165450599925}",20,0,-16.512280629790666,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
